text,label
"Write a short story about a lonely astronaut on Mars","text_generation"
"Generate a poem about the feeling of rain on a summer day","text_generation"
"Write a product description for a smartwatch targeting athletes","text_generation"
"Create a motivational speech for a team that just lost a competition","text_generation"
"Write an opening paragraph for a thriller novel set in Tokyo","text_generation"
"Generate a cover letter for a junior backend developer position","text_generation"
"Write a tweet announcing the launch of an AI productivity app","text_generation"
"Create a bedtime story about a dragon who is afraid of fire","text_generation"
"Write a haiku about the silence after a snowstorm","text_generation"
"Generate a job posting for a senior machine learning engineer","text_generation"
"Write a heartfelt birthday message for a childhood friend","text_generation"
"Create a mouth-watering description for a spicy ramen dish","text_generation"
"Write five catchy email subject lines for a Black Friday campaign","text_generation"
"Generate a dialogue between a detective and a reluctant witness","text_generation"
"Write a press release about a startup raising Series A funding","text_generation"
"Create a tagline for a sustainable fashion brand","text_generation"
"Write a villain origin story for a cyberpunk graphic novel","text_generation"
"Generate ten business name ideas for an online tutoring platform","text_generation"
"Write a professional LinkedIn bio for a product manager with 8 years experience","text_generation"
"Create an honest product review for a standing desk used for 6 months","text_generation"
"Write the first chapter of a coming-of-age story set in a small fishing town","text_generation"
"Generate a formal thank you letter after a university scholarship interview","text_generation"
"Write a fun and educational explanation of black holes for a 10 year old","text_generation"
"Create an Instagram caption for a sunset photo taken in Santorini","text_generation"
"Write a wedding toast for the best man at a close friend's wedding","text_generation"
"Generate a scary campfire story involving an abandoned lighthouse","text_generation"
"Write the product vision statement for a fintech app targeting freelancers","text_generation"
"Create a eulogy for a beloved fictional community librarian","text_generation"
"Write a song chorus about chasing dreams despite repeated failure","text_generation"
"Generate a description of a futuristic city for a sci-fi world building document","text_generation"
"Write a complaint letter to an airline about lost luggage on an international flight","text_generation"
"Create a weekly newsletter intro for a technology startup","text_generation"
"Write a children's book about a bear who learns to share","text_generation"
"Generate a humorous out-of-office email for a two week vacation","text_generation"
"Write a short horror story that ends with a surprising twist","text_generation"
"Create a brand story for a coffee company founded by two brothers","text_generation"
"Write a romantic scene between two characters meeting at a train station","text_generation"
"Generate a list of 10 creative team building activity ideas for remote teams","text_generation"
"Write a persuasive essay introduction arguing for a four-day work week","text_generation"
"Create an event description for a local jazz music festival","text_generation"
"Summarize this research paper on the effects of sleep deprivation on cognition","summarization"
"Give me a brief summary of the causes and effects of the Great Depression","summarization"
"Summarize the key decisions made in today's product planning meeting","summarization"
"Condense this 20 page investor report into five key bullet points","summarization"
"Summarize the plot and themes of the novel Crime and Punishment","summarization"
"Give me a TL;DR of this long Twitter thread about cryptocurrency regulations","summarization"
"Summarize the main legal arguments in this court ruling document","summarization"
"What are the three most important takeaways from this quarterly earnings call","summarization"
"Summarize this Wikipedia article about the Byzantine Empire in two paragraphs","summarization"
"Give me the highlights from this two hour conference talk transcript","summarization"
"Condense this 50 page user manual into a one page quick start guide","summarization"
"Summarize the methodology and findings of this climate change study","summarization"
"Give me a concise summary of the events leading up to World War I","summarization"
"Summarize this collection of customer support tickets into recurring themes","summarization"
"What is the central argument being made in this political philosophy essay","summarization"
"Summarize the advantages and disadvantages discussed in this product comparison article","summarization"
"Give me a plain English overview of this dense machine learning paper","summarization"
"Condense these five user interviews into a single insights document","summarization"
"Summarize the recent amendments made to this terms of service agreement","summarization"
"Give me the core findings from this psychology research abstract","summarization"
"Summarize this email thread between the engineering and design teams","summarization"
"What are the main recommendations in this government infrastructure report","summarization"
